Structure,Cohen_d
L_bankssts,0.01
L_caudalanteriorcingulate,-0.11
L_caudalmiddlefrontal,-0.02
L_cuneus,0.11
L_entorhinal,-0.06
L_fusiform,-0.01
L_inferiorparietal,0.08
L_inferiortemporal,0.0
L_isthmuscingulate,0.04
L_lateraloccipital,0.14
L_lateralorbitofrontal,0.03
L_lingual,0.11
L_medialorbitofrontal,-0.08
L_middletemporal,0.02
L_parahippocampal,0.1
L_paracentral,-0.01
L_parsopercularis,-0.01
L_parsorbitalis,-0.01
L_parstriangularis,-0.03
L_pericalcarine,0.04
L_postcentral,0.05
L_posteriorcingulate,-0.11
L_precentral,-0.06
L_precuneus,0.04
L_rostralanteriorcingulate,-0.09
L_rostralmiddlefrontal,0.03
L_superiorfrontal,-0.04
L_superiorparietal,0.1
L_superiortemporal,0.04
L_supramarginal,0.02
L_frontalpole,0.08
L_temporalpole,-0.02
L_transversetemporal,-0.02
L_insula,-0.01
R_bankssts,0.01
R_caudalanteriorcingulate,-0.11
R_caudalmiddlefrontal,-0.02
R_cuneus,0.11
R_entorhinal,-0.06
R_fusiform,-0.01
R_inferiorparietal,0.08
R_inferiortemporal,0.0
R_isthmuscingulate,0.04
R_lateraloccipital,0.14
R_lateralorbitofrontal,0.03
R_lingual,0.11
R_medialorbitofrontal,-0.08
R_middletemporal,0.02
R_parahippocampal,0.1
R_paracentral,-0.01
R_parsopercularis,-0.01
R_parsorbitalis,-0.01
R_parstriangularis,-0.03
R_pericalcarine,0.04
R_postcentral,0.05
R_posteriorcingulate,-0.11
R_precentral,-0.06
R_precuneus,0.04
R_rostralanteriorcingulate,-0.09
R_rostralmiddlefrontal,0.03
R_superiorfrontal,-0.04
R_superiorparietal,0.1
R_superiortemporal,0.04
R_supramarginal,0.02
R_frontalpole,0.08
R_temporalpole,-0.02
R_transversetemporal,-0.02
R_insula,-0.01
