Structure,Cohen_d
L_bankssts,-0.07
L_caudalanteriorcingulate,0.03
L_caudalmiddlefrontal,0.06
L_cuneus,-0.06
L_entorhinal,-0.24
L_fusiform,-0.19
L_inferiorparietal,-0.05
L_inferiortemporal,-0.16
L_isthmuscingulate,0.05
L_lateraloccipital,-0.02
L_lateralorbitofrontal,0.0
L_lingual,-0.02
L_medialorbitofrontal,0.08
L_middletemporal,-0.12
L_parahippocampal,-0.11
L_paracentral,-0.05
L_parsopercularis,-0.03
L_parsorbitalis,0.04
L_parstriangularis,0.05
L_pericalcarine,-0.01
L_postcentral,-0.07
L_posteriorcingulate,0.05
L_precentral,0.09
L_precuneus,-0.08
L_rostralanteriorcingulate,0.01
L_rostralmiddlefrontal,0.11
L_superiorfrontal,0.11
L_superiorparietal,-0.09
L_superiortemporal,-0.15
L_supramarginal,-0.09
L_frontalpole,0.04
L_temporalpole,-0.14
L_transversetemporal,-0.24
L_insula,-0.09
R_bankssts,-0.07
R_caudalanteriorcingulate,0.03
R_caudalmiddlefrontal,0.06
R_cuneus,-0.06
R_entorhinal,-0.24
R_fusiform,-0.19
R_inferiorparietal,-0.05
R_inferiortemporal,-0.16
R_isthmuscingulate,0.05
R_lateraloccipital,-0.02
R_lateralorbitofrontal,0.0
R_lingual,-0.02
R_medialorbitofrontal,0.08
R_middletemporal,-0.12
R_parahippocampal,-0.11
R_paracentral,-0.05
R_parsopercularis,-0.03
R_parsorbitalis,0.04
R_parstriangularis,0.05
R_pericalcarine,-0.01
R_postcentral,-0.07
R_posteriorcingulate,0.05
R_precentral,0.09
R_precuneus,-0.08
R_rostralanteriorcingulate,0.01
R_rostralmiddlefrontal,0.11
R_superiorfrontal,0.11
R_superiorparietal,-0.09
R_superiortemporal,-0.15
R_supramarginal,-0.09
R_frontalpole,0.04
R_temporalpole,-0.14
R_transversetemporal,-0.24
R_insula,-0.09
