Structure,Cohen_d
L_bankssts,-0.21
L_caudalanteriorcingulate,-0.1
L_caudalmiddlefrontal,-0.27
L_cuneus,-0.06
L_entorhinal,-0.04
L_fusiform,-0.29
L_inferiorparietal,-0.27
L_inferiortemporal,-0.25
L_isthmuscingulate,-0.13
L_lateraloccipital,-0.16
L_lateralorbitofrontal,-0.22
L_lingual,-0.21
L_medialorbitofrontal,-0.2
L_middletemporal,-0.25
L_parahippocampal,-0.02
L_paracentral,-0.14
L_parsopercularis,-0.29
L_parsorbitalis,-0.25
L_parstriangularis,-0.27
L_pericalcarine,0.02
L_postcentral,-0.1
L_posteriorcingulate,-0.11
L_precentral,-0.21
L_precuneus,-0.21
L_rostralanteriorcingulate,-0.15
L_rostralmiddlefrontal,-0.28
L_superiorfrontal,-0.23
L_superiorparietal,-0.16
L_superiortemporal,-0.21
L_supramarginal,-0.25
L_frontalpole,-0.12
L_temporalpole,-0.12
L_transversetemporal,-0.12
L_insula,-0.2
R_bankssts,-0.13
R_caudalanteriorcingulate,-0.06
R_caudalmiddlefrontal,-0.21
R_cuneus,-0.03
R_entorhinal,-0.08
R_fusiform,-0.27
R_inferiorparietal,-0.26
R_inferiortemporal,-0.19
R_isthmuscingulate,-0.18
R_lateraloccipital,-0.22
R_lateralorbitofrontal,-0.21
R_lingual,-0.2
R_medialorbitofrontal,-0.23
R_middletemporal,-0.22
R_parahippocampal,-0.09
R_paracentral,-0.14
R_parsopercularis,-0.25
R_parsorbitalis,-0.24
R_parstriangularis,-0.23
R_pericalcarine,0.02
R_postcentral,-0.08
R_posteriorcingulate,-0.17
R_precentral,-0.18
R_precuneus,-0.19
R_rostralanteriorcingulate,-0.09
R_rostralmiddlefrontal,-0.26
R_superiorfrontal,-0.26
R_superiorparietal,-0.16
R_superiortemporal,-0.19
R_supramarginal,-0.18
R_frontalpole,-0.1
R_temporalpole,-0.06
R_transversetemporal,-0.11
R_insula,-0.17
