Structure,Cohen_d
L_bankssts,-0.06
L_caudalanteriorcingulate,-0.04
L_caudalmiddlefrontal,-0.01
L_cuneus,0.05
L_entorhinal,-0.04
L_fusiform,-0.12
L_inferiorparietal,-0.06
L_inferiortemporal,-0.05
L_isthmuscingulate,-0.1
L_lateraloccipital,-0.02
L_lateralorbitofrontal,-0.05
L_lingual,0.01
L_medialorbitofrontal,-0.13
L_middletemporal,-0.09
L_parahippocampal,-0.07
L_paracentral,0.0
L_parsopercularis,-0.06
L_parsorbitalis,-0.07
L_parstriangularis,-0.05
L_pericalcarine,0.09
L_postcentral,0.04
L_posteriorcingulate,-0.1
L_precentral,-0.02
L_precuneus,-0.02
L_rostralanteriorcingulate,-0.13
L_rostralmiddlefrontal,-0.04
L_superiorfrontal,-0.07
L_superiorparietal,-0.01
L_superiortemporal,0.01
L_supramarginal,-0.05
L_frontalpole,-0.01
L_temporalpole,0.01
L_transversetemporal,-0.04
L_insula,-0.11
R_bankssts,-0.07
R_caudalanteriorcingulate,-0.08
R_caudalmiddlefrontal,0.01
R_cuneus,0.05
R_entorhinal,-0.06
R_fusiform,-0.12
R_inferiorparietal,-0.04
R_inferiortemporal,-0.12
R_isthmuscingulate,-0.07
R_lateraloccipital,0.01
R_lateralorbitofrontal,-0.12
R_lingual,-0.01
R_medialorbitofrontal,-0.13
R_middletemporal,-0.09
R_parahippocampal,-0.06
R_paracentral,-0.01
R_parsopercularis,-0.02
R_parsorbitalis,-0.07
R_parstriangularis,-0.03
R_pericalcarine,0.08
R_postcentral,0.03
R_posteriorcingulate,-0.09
R_precentral,-0.02
R_precuneus,0.01
R_rostralanteriorcingulate,-0.1
R_rostralmiddlefrontal,-0.04
R_superiorfrontal,-0.08
R_superiorparietal,0.03
R_superiortemporal,-0.03
R_supramarginal,-0.05
R_frontalpole,-0.06
R_temporalpole,0.01
R_transversetemporal,-0.05
R_insula,-0.12
