Structure,Cohen_d
L_bankssts,-0.06
L_caudalanteriorcingulate,0.0
L_caudalmiddlefrontal,-0.09
L_cuneus,-0.04
L_entorhinal,-0.06
L_fusiform,-0.11
L_inferiorparietal,-0.14
L_inferiortemporal,-0.09
L_isthmuscingulate,-0.07
L_lateraloccipital,-0.07
L_lateralorbitofrontal,-0.1
L_lingual,-0.05
L_medialorbitofrontal,-0.08
L_middletemporal,-0.09
L_parahippocampal,-0.06
L_paracentral,-0.01
L_parsopercularis,-0.08
L_parsorbitalis,-0.05
L_parstriangularis,-0.03
L_pericalcarine,0.01
L_postcentral,-0.02
L_posteriorcingulate,-0.07
L_precentral,-0.02
L_precuneus,-0.1
L_rostralanteriorcingulate,-0.07
L_rostralmiddlefrontal,-0.1
L_superiorfrontal,-0.07
L_superiorparietal,-0.06
L_superiortemporal,-0.01
L_supramarginal,-0.05
L_frontalpole,-0.05
L_temporalpole,0.03
L_transversetemporal,0.0
L_insula,-0.07
R_bankssts,0.01
R_caudalanteriorcingulate,-0.04
R_caudalmiddlefrontal,-0.08
R_cuneus,-0.03
R_entorhinal,0.01
R_fusiform,-0.09
R_inferiorparietal,-0.14
R_inferiortemporal,-0.06
R_isthmuscingulate,-0.05
R_lateraloccipital,-0.07
R_lateralorbitofrontal,-0.11
R_lingual,-0.04
R_medialorbitofrontal,-0.1
R_middletemporal,-0.1
R_parahippocampal,-0.08
R_paracentral,0.01
R_parsopercularis,-0.06
R_parsorbitalis,-0.07
R_parstriangularis,-0.06
R_pericalcarine,0.03
R_postcentral,0.04
R_posteriorcingulate,-0.06
R_precentral,-0.04
R_precuneus,-0.1
R_rostralanteriorcingulate,0.01
R_rostralmiddlefrontal,-0.09
R_superiorfrontal,-0.04
R_superiorparietal,-0.05
R_superiortemporal,0.01
R_supramarginal,0.0
R_frontalpole,0.02
R_temporalpole,0.02
R_transversetemporal,-0.02
R_insula,-0.07
