Structure,Cohen_d
L_bankssts,-0.35
L_caudalanteriorcingulate,-0.12
L_caudalmiddlefrontal,-0.36
L_cuneus,-0.2
L_entorhinal,-0.2
L_fusiform,-0.49
L_inferiorparietal,-0.36
L_inferiortemporal,-0.45
L_isthmuscingulate,-0.31
L_lateraloccipital,-0.33
L_lateralorbitofrontal,-0.4
L_lingual,-0.35
L_medialorbitofrontal,-0.23
L_middletemporal,-0.44
L_parahippocampal,-0.28
L_paracentral,-0.25
L_parsopercularis,-0.38
L_parsorbitalis,-0.32
L_parstriangularis,-0.34
L_pericalcarine,-0.08
L_postcentral,-0.26
L_posteriorcingulate,-0.3
L_precentral,-0.34
L_precuneus,-0.3
L_rostralanteriorcingulate,-0.18
L_rostralmiddlefrontal,-0.36
L_superiorfrontal,-0.43
L_superiorparietal,-0.21
L_superiortemporal,-0.44
L_supramarginal,-0.4
L_frontalpole,-0.21
L_temporalpole,-0.25
L_transversetemporal,-0.25
L_insula,-0.41
R_bankssts,-0.36
R_caudalanteriorcingulate,-0.15
R_caudalmiddlefrontal,-0.32
R_cuneus,-0.23
R_entorhinal,-0.15
R_fusiform,-0.54
R_inferiorparietal,-0.35
R_inferiortemporal,-0.44
R_isthmuscingulate,-0.31
R_lateraloccipital,-0.34
R_lateralorbitofrontal,-0.36
R_lingual,-0.39
R_medialorbitofrontal,-0.24
R_middletemporal,-0.38
R_parahippocampal,-0.29
R_paracentral,-0.22
R_parsopercularis,-0.42
R_parsorbitalis,-0.34
R_parstriangularis,-0.37
R_pericalcarine,-0.09
R_postcentral,-0.28
R_posteriorcingulate,-0.31
R_precentral,-0.32
R_precuneus,-0.3
R_rostralanteriorcingulate,-0.12
R_rostralmiddlefrontal,-0.31
R_superiorfrontal,-0.4
R_superiorparietal,-0.22
R_superiortemporal,-0.44
R_supramarginal,-0.39
R_frontalpole,-0.21
R_temporalpole,-0.24
R_transversetemporal,-0.26
R_insula,-0.41
