time,roi,fs_version,F,p
Baseline,Left-Thalamus,fs5,15.696,0.001
Baseline,Left-Thalamus,fs6,15.582,0.001
Baseline,Left-Thalamus,fs7,15.627,0.001
Baseline,Left-Caudate,fs5,0.026,12.193
Baseline,Left-Caudate,fs6,0,13.881
Baseline,Left-Caudate,fs7,0.001,13.72
Baseline,Left-Putamen,fs5,1.463,3.189
Baseline,Left-Putamen,fs6,2.527,1.586
Baseline,Left-Putamen,fs7,1.707,2.698
Baseline,Left-Pallidum,fs5,3.095,1.118
Baseline,Left-Pallidum,fs6,4.103,0.616
Baseline,Left-Pallidum,fs7,8.764,0.048
Baseline,Left-Hippocampus,fs5,12.511,0.007
Baseline,Left-Hippocampus,fs6,10.627,0.018
Baseline,Left-Hippocampus,fs7,8.892,0.044
Baseline,Left-Amygdala,fs5,2.215,1.933
Baseline,Left-Amygdala,fs6,3.076,1.131
Baseline,Left-Amygdala,fs7,3.863,0.708
Baseline,Left-Accumbens-area,fs5,9.325,0.035
Baseline,Left-Accumbens-area,fs6,4.565,0.472
Baseline,Left-Accumbens-area,fs7,5.951,0.217
Baseline,Right-Thalamus,fs5,13.594,0.004
Baseline,Right-Thalamus,fs6,13.801,0.004
Baseline,Right-Thalamus,fs7,15.178,0.002
Baseline,Right-Caudate,fs5,0.063,11.224
Baseline,Right-Caudate,fs6,0.449,7.048
Baseline,Right-Caudate,fs7,0.57,6.314
Baseline,Right-Putamen,fs5,1.161,3.953
Baseline,Right-Putamen,fs6,0.821,5.123
Baseline,Right-Putamen,fs7,1.503,3.1
Baseline,Right-Pallidum,fs5,5.205,0.328
Baseline,Right-Pallidum,fs6,10.142,0.023
Baseline,Right-Pallidum,fs7,21.056,0
Baseline,Right-Hippocampus,fs5,15.21,0.002
Baseline,Right-Hippocampus,fs6,17.531,0.001
Baseline,Right-Hippocampus,fs7,17.345,0.001
Baseline,Right-Amygdala,fs5,3.281,1
Baseline,Right-Amygdala,fs6,9.173,0.038
Baseline,Right-Amygdala,fs7,11.376,0.012
Baseline,Right-Accumbens-area,fs5,3.688,0.785
Baseline,Right-Accumbens-area,fs6,7.267,0.106
Baseline,Right-Accumbens-area,fs7,10.78,0.017
Longitudinal,Left-Thalamus,fs5,0.792,5.241
Longitudinal,Left-Thalamus,fs6,0.257,8.581
Longitudinal,Left-Thalamus,fs7,0.276,8.401
Longitudinal,Left-Caudate,fs5,5.461,0.284
Longitudinal,Left-Caudate,fs6,3.084,1.126
Longitudinal,Left-Caudate,fs7,1.879,2.405
Longitudinal,Left-Putamen,fs5,0.529,6.548
Longitudinal,Left-Putamen,fs6,2.095,2.089
Longitudinal,Left-Putamen,fs7,0.546,6.45
Longitudinal,Left-Pallidum,fs5,0.085,10.787
Longitudinal,Left-Pallidum,fs6,6.372,0.172
Longitudinal,Left-Pallidum,fs7,2.997,1.187
Longitudinal,Left-Hippocampus,fs5,0.222,8.937
Longitudinal,Left-Hippocampus,fs6,0.221,8.941
Longitudinal,Left-Hippocampus,fs7,0.093,10.65
Longitudinal,Left-Amygdala,fs5,0.07,11.089
Longitudinal,Left-Amygdala,fs6,1.621,2.86
Longitudinal,Left-Amygdala,fs7,0.107,10.409
Longitudinal,Left-Accumbens-area,fs5,0.363,7.667
Longitudinal,Left-Accumbens-area,fs6,1.811,2.517
Longitudinal,Left-Accumbens-area,fs7,0.504,6.697
Longitudinal,Right-Thalamus,fs5,0.616,6.067
Longitudinal,Right-Thalamus,fs6,0.207,9.09
Longitudinal,Right-Thalamus,fs7,0.017,12.57
Longitudinal,Right-Caudate,fs5,12.644,0.006
Longitudinal,Right-Caudate,fs6,4.884,0.394
Longitudinal,Right-Caudate,fs7,1.236,3.745
Longitudinal,Right-Putamen,fs5,2.143,2.025
Longitudinal,Right-Putamen,fs6,0.152,9.76
Longitudinal,Right-Putamen,fs7,1.272,3.649
Longitudinal,Right-Pallidum,fs5,0.178,9.423
Longitudinal,Right-Pallidum,fs6,1.569,2.964
Longitudinal,Right-Pallidum,fs7,0.132,10.03
Longitudinal,Right-Hippocampus,fs5,3.33,0.971
Longitudinal,Right-Hippocampus,fs6,1.575,2.951
Longitudinal,Right-Hippocampus,fs7,0.018,12.512
Longitudinal,Right-Amygdala,fs5,0.289,8.283
Longitudinal,Right-Amygdala,fs6,1.014,4.412
Longitudinal,Right-Amygdala,fs7,0.502,6.711
Longitudinal,Right-Accumbens-area,fs5,1.379,3.381
Longitudinal,Right-Accumbens-area,fs6,2.096,2.086
Longitudinal,Right-Accumbens-area,fs7,4.185,0.587
