time,roi,fs_version,r,p
Baseline,Left-Thalamus,FreeSurfer 5,-0.013,12.36
Baseline,Left-Caudate,FreeSurfer 5,-0.206,0.312
Baseline,Left-Putamen,FreeSurfer 5,-0.188,0.52
Baseline,Left-Pallidum,FreeSurfer 5,-0.182,0.622
Baseline,Left-Hippocampus,FreeSurfer 5,-0.124,2.426
Baseline,Left-Amygdala,FreeSurfer 5,-0.099,3.846
Baseline,Left-Accumbens-area,FreeSurfer 5,0.127,2.27
Baseline,Right-Thalamus,FreeSurfer 5,-0.013,12.416
Baseline,Right-Caudate,FreeSurfer 5,-0.11,3.15
Baseline,Right-Putamen,FreeSurfer 5,-0.222,0.192
Baseline,Right-Pallidum,FreeSurfer 5,-0.015,12.149
Baseline,Right-Hippocampus,FreeSurfer 5,-0.223,0.183
Baseline,Right-Amygdala,FreeSurfer 5,-0.159,1.111
Baseline,Right-Accumbens-area,FreeSurfer 5,0.001,13.847
Longitudinal,Left-Thalamus,FreeSurfer 5,0.14,1.737
Longitudinal,Left-Caudate,FreeSurfer 5,0.096,4.124
Longitudinal,Left-Putamen,FreeSurfer 5,-0.007,13.159
Longitudinal,Left-Pallidum,FreeSurfer 5,0.022,11.384
Longitudinal,Left-Hippocampus,FreeSurfer 5,0.067,6.522
Longitudinal,Left-Amygdala,FreeSurfer 5,0.103,3.65
Longitudinal,Left-Accumbens-area,FreeSurfer 5,-0.101,3.734
Longitudinal,Right-Thalamus,FreeSurfer 5,-0.009,12.956
Longitudinal,Right-Caudate,FreeSurfer 5,-0.122,2.523
Longitudinal,Right-Putamen,FreeSurfer 5,0.062,6.985
Longitudinal,Right-Pallidum,FreeSurfer 5,-0.039,9.358
Longitudinal,Right-Hippocampus,FreeSurfer 5,0.12,2.637
Longitudinal,Right-Amygdala,FreeSurfer 5,-0.002,13.745
Longitudinal,Right-Accumbens-area,FreeSurfer 5,-0.132,2.077
Baseline,Left-Thalamus,FreeSurfer 6,-0.026,10.838
Baseline,Left-Caudate,FreeSurfer 6,-0.178,0.685
Baseline,Left-Putamen,FreeSurfer 6,-0.202,0.352
Baseline,Left-Pallidum,FreeSurfer 6,-0.085,4.928
Baseline,Left-Hippocampus,FreeSurfer 6,-0.11,3.144
Baseline,Left-Amygdala,FreeSurfer 6,-0.155,1.206
Baseline,Left-Accumbens-area,FreeSurfer 6,0.085,4.921
Baseline,Right-Thalamus,FreeSurfer 6,-0.033,10.04
Baseline,Right-Caudate,FreeSurfer 6,-0.107,3.322
Baseline,Right-Putamen,FreeSurfer 6,-0.269,0.037
Baseline,Right-Pallidum,FreeSurfer 6,0.041,9.142
Baseline,Right-Hippocampus,FreeSurfer 6,-0.163,1.014
Baseline,Right-Amygdala,FreeSurfer 6,-0.156,1.201
Baseline,Right-Accumbens-area,FreeSurfer 6,0.025,11.028
Longitudinal,Left-Thalamus,FreeSurfer 6,0.037,9.654
Longitudinal,Left-Caudate,FreeSurfer 6,-0.016,11.999
Longitudinal,Left-Putamen,FreeSurfer 6,0.1,3.812
Longitudinal,Left-Pallidum,FreeSurfer 6,0.145,1.551
Longitudinal,Left-Hippocampus,FreeSurfer 6,0.066,6.567
Longitudinal,Left-Amygdala,FreeSurfer 6,-0.076,5.715
Longitudinal,Left-Accumbens-area,FreeSurfer 6,0.076,5.662
Longitudinal,Right-Thalamus,FreeSurfer 6,-0.016,12.042
Longitudinal,Right-Caudate,FreeSurfer 6,-0.221,0.204
Longitudinal,Right-Putamen,FreeSurfer 6,0.208,0.305
Longitudinal,Right-Pallidum,FreeSurfer 6,-0.089,4.609
Longitudinal,Right-Hippocampus,FreeSurfer 6,0.005,13.396
Longitudinal,Right-Amygdala,FreeSurfer 6,-0.031,10.341
Longitudinal,Right-Accumbens-area,FreeSurfer 6,-0.025,10.977
Baseline,Left-Thalamus,FreeSurfer 7,-0.016,12.017
Baseline,Left-Caudate,FreeSurfer 7,-0.182,0.611
Baseline,Left-Putamen,FreeSurfer 7,-0.221,0.194
Baseline,Left-Pallidum,FreeSurfer 7,-0.15,1.357
Baseline,Left-Hippocampus,FreeSurfer 7,-0.12,2.589
Baseline,Left-Amygdala,FreeSurfer 7,-0.176,0.722
Baseline,Left-Accumbens-area,FreeSurfer 7,0.086,4.853
Baseline,Right-Thalamus,FreeSurfer 7,-0.058,7.311
Baseline,Right-Caudate,FreeSurfer 7,-0.118,2.687
Baseline,Right-Putamen,FreeSurfer 7,-0.263,0.047
Baseline,Right-Pallidum,FreeSurfer 7,-0.007,13.181
Baseline,Right-Hippocampus,FreeSurfer 7,-0.189,0.515
Baseline,Right-Amygdala,FreeSurfer 7,-0.237,0.115
Baseline,Right-Accumbens-area,FreeSurfer 7,-0.034,9.929
Longitudinal,Left-Thalamus,FreeSurfer 7,-0.012,12.556
Longitudinal,Left-Caudate,FreeSurfer 7,-0.002,13.744
Longitudinal,Left-Putamen,FreeSurfer 7,-0.011,12.63
Longitudinal,Left-Pallidum,FreeSurfer 7,0.039,9.401
Longitudinal,Left-Hippocampus,FreeSurfer 7,0.063,6.829
Longitudinal,Left-Amygdala,FreeSurfer 7,0.011,12.64
Longitudinal,Left-Accumbens-area,FreeSurfer 7,0.091,4.485
Longitudinal,Right-Thalamus,FreeSurfer 7,-0.016,12.01
Longitudinal,Right-Caudate,FreeSurfer 7,-0.229,0.155
Longitudinal,Right-Putamen,FreeSurfer 7,0.141,1.714
Longitudinal,Right-Pallidum,FreeSurfer 7,0.057,7.462
Longitudinal,Right-Hippocampus,FreeSurfer 7,-0.01,12.759
Longitudinal,Right-Amygdala,FreeSurfer 7,-0.141,1.71
Longitudinal,Right-Accumbens-area,FreeSurfer 7,-0.018,11.829
